username,like_count,comment_count,share_count,view_count,hashtags,age_group
anon_0099,82,2,0,1450,"['lifestyle', 'reality', 'pregnancy', 'pregnant', 'realistic', 'pregnantlife', 'fyp', 'pregnantbelly', '35weeks', 'sahm', 'amvspm', 'transparency', 'pregnanttiktok', 'lifestylecontent', 'realisticmomlife']",age1
anon_0100,27,14,2,2212,"['pregnant', 'pregnantlife', 'fyp', 'maha', 'homebirth', 'worryaboutyourself', 'sahm', 'creatorsearchinsights']",age1
anon_0101,24,10,0,1049,"['morningroutine', 'goodwill', 'pregnantlife', 'firstvlog', 'dayinmylife', 'sahm', 'saturdayvlog', 'morningvlog', 'familyvlog', 'thrifthaul', 'firstvlogpost', 'pregnanttiktok']",age1
anon_0054,216,6,6,3651,"['pregnancy', 'postpartum', 'homebirth', 'doula', 'sahm', 'ugc', 'momof3', 'naturalbirth', 'birthworker', 'homebirthmom', 'postpartumhealing', 'ugcmom', 'ugcsahm', 'postpartumhealingtips']",age1
anon_0102,42,6,1,1099,"['burn', 'mom', 'pregnancy', 'pregnant', 'utah', 'sahm', 'workoutclass', 'workoutvlog', 'burnbootcamp', 'burnbootcamphighland']",age1
anon_0103,64,7,5,580,"['trending', 'babyboy', 'pregnancy', 'creator', 'ftm', 'pregnantlife', 'fyp', 'sahm', '35weekspregnant']",age1
anon_0104,99,23,0,687,"['viral', 'pregnant', 'momlife', 'fyp', 'sahm', 'girlmom', 'momsoftiktok', 'momsupportingmoms']",age1
anon_0105,59,4,3,490,"['daughter', 'love', 'family', 'wedding', 'goodmorning', 'babygirl', 'humor', 'pregnancy', 'lifeisgood', 'lovemylife', 'married', 'savemoney', 'marriedlife', 'proposal', 'firsttimemom', 'sahm', 'sahmlife']",age1
anon_0106,9,4,0,364,"['newhouse', 'stayathomemom', 'sahm', 'firsttimehomebuyer', 'momsoftiktok', 'pregnanttiktok', 'machinelearningengineer', 'newconstructionhouse', 'providermen', 'softlifestyle❤️', 'comptiaaplus', 'wgucybersecurity']",age1
anon_0052,321,7,26,7532,"['pregnant', 'firsttimemom', 'sahm', 'sahmlife', 'millenialmom', 'momsoftiktok', 'husbandsoftiktok', 'pregnancytiktok']",age1
anon_0107,30,8,2,373,"['pregnancy', 'pregnant', 'secondbaby', 'sahm', 'sahmlife', 'babytok', 'babyproducts', 'momtok', 'babytiktok', 'momtiktok', 'babyessentials']",age1
anon_0108,71,6,2,5832,"['mom', 'pregnancy', 'pregnant', 'pregnancycravings', 'sahm', 'momsoftiktok']",age1
anon_0109,18,6,0,236,"['pregnancy', 'momlife', 'sahm', 'momtok', 'overwhelmedmom']",age1
anon_0110,2590,13,0,31027,"['motherhood', 'pregnancy', 'onemore', 'fyp', 'sahm', 'homemaker']",age1
anon_0111,103,4,0,4733,"['pregnancy', 'pregnant', 'pregnantlife', 'reset', 'sahm', '3rdtrimester', '34weekspregnant', '8monthspregnant', 'resetwithme']",age1
anon_0081,47,5,2,356,"['mom', 'trending', 'viral', 'meme', 'foryou', 'pregnant', 'momlife', 'fyp', 'sahm', 'sahmlife', 'momtok', 'sahmomsbelike', 'momsoftiktok', 'sahmsoftiktok', 'sahmtok', 'memecut']",age1
anon_0112,49,4,0,447,"['morningroutine', 'pregnant', 'sahm', 'ditl', 'sahmlife', 'minivlog', 'afternoonroutine', '40weekspregnant', 'pregnanttiktok', 'sahmomlife', 'sahmsoftiktok']",age1
anon_0113,27,3,2,350,"['tiktok', 'toddlers', 'playground', 'foryou', 'pregnant', 'momsbelike', 'bigmama', 'schoolkids', 'stayathomemom', 'sahm', 'momtok', 'foryoupage', 'kidtok', 'pregnanttiktok']",age1
anon_0114,12,3,0,59,"['foryou', 'postpartum', 'fyp', 'sahm', 'birthstory', 'momsoftiktok', 'pregnanttiktok']",age1
anon_0081,35,5,1,571,"['pregnant', 'sahm', 'babiesoftiktok', 'momsoftiktok']",age1
anon_0077,47,2,0,515,"['motherhood', 'coffeeaddict', 'pregnant', 'fyp', 'sahm', 'sahmlife', 'momof3', 'thirdtrimester', 'exhaustedmom', 'soloparenting', 'momcontent', 'realisticmomlife']",age1
anon_0059,126,60,8,805,"['pregnant', 'momof5', 'sahm', 'momof6', 'homeschoolmom', 'momsoftiktok']",age1
anon_0115,81,8,2,583,"['marriedlife', 'newlyweds', 'postpartumbody', 'sahm', 'marriagehumor', 'pregnanttiktok', 'postpartumrecovery']",age1
anon_0116,17,1,0,424,"['snow', 'milk', 'viral', 'pregnant', 'momlife', 'fyp', 'sahm', 'foryoupage', 'momsoftiktok']",age1
anon_0117,31,3,1,362,"['pregnant', 'pregnantlife', 'fyp', 'pregnantbelly', 'sahm', 'fypage', 'pregnanttiktok', 'fypシ', 'fyppppppppppppppppppppppp']",age1
anon_0118,39,10,3,508,"['viral', 'helpme', 'pregnant', 'fyp', 'boymom', 'sahm', 'fypシ', 'blackgirlmagic✨']",age1
anon_0119,22,7,0,376,"['mom', 'shopping', 'walmart', 'groceries', 'target', 'pregnant', 'sahm', 'momofthree']",age1
