username,engagement,age_group,relatability_score,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
anon_0011,0.141656662665066,age1,0.593544602394104,0.0170194432139396,0.0108749447390437,0.0018676805775612,0.0199365429580211,0.0194354075938463,0.0014834490139037,0.0010887130629271,0.0023499173112213,0.0050203590653836,0.0054262382909655,0.0022753931116312,0.0033981862943619,0.0031699272803962,0.0457021594047546,0.0008622338064014,0.0007751280209049,0.0001341114693786,0.0183101501315832,0.0080130854621529,0.0009047118364833,0.0046796831302344,0.0017071585170924,0.0050700907595455,0.0010737291304394,0.0001619342947378,0.0030861557461321,0.0133949909359216,0.8513140678405762
anon_0012,0.0597826086956521,age1,0.3649684190750122,0.0015634744195267,0.0018282814417034,0.0016865442739799,0.0304323863238096,0.012305705808103,0.0049761324189603,0.0094369444996118,0.003323002718389,0.0013822825858369,0.4025861918926239,0.0231700520962476,0.0017638592980802,0.0190588720142841,0.0016336310654878,0.0044011678546667,0.0007046923274174,0.0003563337959349,0.0016453828429803,0.0027175948489457,0.0041353208944201,0.0036959229037165,0.0011365613900125,0.0939748659729957,0.0072852317243814,0.0356273092329502,0.1362819522619247,0.0042737969197332,0.4348664283752441
anon_0013,0.0584415584415584,age1,0.9336533546447754,0.034892551600933,0.0017462231917306,0.0010430028196424,0.0078095309436321,0.0135907651856541,0.0005925021250732,0.0045571993105113,0.0046366294845938,0.0065682833082973,0.0178710613399744,0.0048914970830082,0.0005472085322253,0.0019411490065976,0.020636873319745,0.000263924623141,0.0008826173143461,0.0001722330780467,0.0020916387438774,0.0014642815804108,0.0002464390709064,0.0059152087196707,0.0025679827667772,0.010076817125082,0.0015902278246358,0.0004412148555275,0.0019717107061296,0.0273004751652479,0.9124690294265748
anon_0014,0.1221945137157107,age1,0.4551571607589721,0.0032951603643596,0.0048225969076156,0.1292804926633834,0.1858984678983688,0.0021857218816876,0.0021629403345286,0.0547718629240989,0.2456557750701904,0.0035513159818947,0.0394481271505355,0.0508797317743301,0.0091335652396082,0.0010031081037595,0.0051933894865214,0.0013924171216785,0.0013761275913566,0.0005233312840573,0.0004855002334807,0.0007812398835085,0.0006076799472793,0.0009249838185496,0.000355340540409,0.0048612565733492,0.0005579771241173,0.000678812211845,0.0092146974056959,0.0195834748446941,0.5081172585487366
anon_0015,0.0651162790697674,age1,0.4354258179664612,0.0424907729029655,0.0015369165921583,0.0015433171065524,0.0040771174244582,0.0151045080274343,0.0127553800120949,0.0040247100405395,0.0025257093366235,0.0033780329395085,0.0051757213659584,0.0011716923909261,0.0009388510370627,0.0003945167700294,0.0057137385010719,0.0005657367873936,0.0028884366620332,0.0013928588014096,0.0088608749210834,0.7035359144210815,0.000204605210456,0.0034168292768299,0.0004929742426611,0.0126590421423316,0.0004474395245779,0.0003209187416359,0.0088112549856305,0.0052479119040071,0.2327670454978943
anon_0016,0.0566525825644563,age1,0.4272743761539459,0.0052313371561467,0.0010118994396179,0.001020100316964,0.0025502415373921,0.0109883937984704,0.0072894226759672,0.0183232426643371,0.015603226609528,0.0185276735574007,0.0064420411363244,0.0037624386604875,0.0006757443188689,0.0009168992983177,0.0018131110118702,0.0012131059775128,0.0007934606983326,0.0001590117899468,0.000634760945104,0.0039367307908833,0.0002888858725782,0.0110626462846994,0.0003231359878554,0.0058983196504414,0.000557389226742,0.0012413723161444,0.004806631244719,0.0035731974057853,0.9264052510261536
anon_0017,0.0790190735694822,age1,0.3876201212406158,0.1685170233249664,0.0012003702577203,0.0018928401404991,0.0023503352422267,0.0181577056646347,0.0026414694730192,0.0042085759341716,0.0048075187951326,0.0019135781330987,0.0030678149778395,0.0008297745371237,0.0003717229992616,0.0002007919392781,0.0024253271985799,0.0004482854565139,0.0020149471238255,0.0017217587446793,0.0127494726330041,0.4900018274784088,0.000122520737932,0.0013587161665782,0.000506526324898,0.0127966320142149,0.0005964530282653,0.0001839048200054,0.0066450648009777,0.0024147008080035,0.1999716013669967
anon_0018,0.0570071258907363,age1,0.3643167316913605,0.0040016709826886,0.0018120239255949,0.0021606979425996,0.0036018623504787,0.0106774009764194,0.0006400396814569,0.0091395620256662,0.0041335010901093,0.0011921398108825,0.0032197881955653,0.0022087143734097,0.0015774207422509,0.0007287660846486,0.0014576320536434,0.0005410641897469,0.0007293361704796,0.0004676970420405,0.0006245461991056,0.0034860600717365,0.000236240986851,0.0010104365646839,0.0010911480057984,0.0062470468692481,0.0014139310223981,0.0008452602778561,0.0062382696196436,0.0038948357105255,0.9744062423706056
anon_0019,0.0498374864572047,age1,0.7439628839492798,0.0091695832088589,0.0024791851174086,0.0018432242795825,0.0089628593996167,0.020551074296236,0.0030841745901852,0.0062761539593338,0.0027517827693372,0.0008196801645681,0.0059082084335386,0.002982773585245,0.0018205668311566,0.0020206440240144,0.0017973181093111,0.0015859138220548,0.0007805043132975,0.0001654082880122,0.0025532403960824,0.0057400674559175,0.000509699631948,0.0018057379638776,0.0011155747342854,0.0085461810231208,0.0030286714900285,0.0005414345650933,0.0067252535372972,0.0035874750465154,0.927693784236908
anon_0020,0.0410628019323671,age1,0.364168256521225,0.0118340402841568,0.0064358729869127,0.0020635260734707,0.0036311650183051,0.0210863519459962,0.0010975458426401,0.0101339118555188,0.0044148410670459,0.0032916744239628,0.0015231495490297,0.0017831729492172,0.0011387141421437,0.0012163567589595,0.0028921857010573,0.0004700846620835,0.0004553766921162,0.0002712357963901,0.0025956649333238,0.0076123648323118,0.0002413199981674,0.0018902878509834,0.0010552774183452,0.009341855533421,0.0010980744846165,0.0002360262005822,0.0035894303582608,0.0057486486621201,0.9160977602005004
anon_0021,0.1891025641025641,age1,0.2222763895988464,0.0042277895845472,0.0045878603123128,0.0005900408141314,0.0077050188556313,0.0110090114176273,0.0004876102902926,0.0059024537913501,0.0029923578258603,0.0030260535422712,0.0047139734961092,0.0014626872725784,0.0010844009229913,0.0008692133123986,0.0059884451329708,0.000446181569714,0.0006081750616431,0.0004025063535664,0.0020969063043594,0.002007438801229,0.0002513731888029,0.0013781721936538,0.0010677970713004,0.0080227833241224,0.000974956958089,0.0003623129450716,0.004541877657175,0.0103608202189207,0.9689683318138124
anon_0022,0.1182795698924731,age1,0.2681553363800049,0.0472550466656684,0.0042794295586645,0.0008546618628315,0.0030103349126875,0.0893981829285621,0.0203334502875804,0.0054413778707385,0.0163213927298784,0.0147526105865836,0.0052223075181245,0.0026060380041599,0.0005128267803229,0.0002237352746305,0.0078399311751127,0.0003540518519002,0.0047754328697919,0.0002609488728921,0.0253036059439182,0.0100201908499002,0.0003518460725899,0.0455359630286693,0.000275581376627,0.0146500542759895,0.0005531528149731,0.0003333299537189,0.0023930214811116,0.0022993127349764,0.3960894048213959
anon_0023,0.1727574750830564,age1,0.428985983133316,0.1246484443545341,0.0156444199383258,0.0005173478857614,0.0030607355292886,0.0270381700247526,0.0071795056574046,0.0017479255329817,0.002361053135246,0.0035922112874686,0.0018889568746089,0.0007114754407666,0.0002971391950268,0.000731582113076,0.0493130087852478,9.844144369708374e-05,0.0137773854658007,0.001075027976185,0.8518397808074951,0.0624249875545501,0.0002268308744532,0.0026962673291563,0.0058180727064609,0.0126961059868335,0.0037226865533739,0.000245756964432,0.0028235351201146,0.0035149038303643,0.0620890036225318
anon_0024,0.0610932475884244,age1,0.93865704536438,0.0063876127824187,0.0053491028957068,0.0008427996654063,0.0049016550183296,0.0211758203804492,0.0005884800339117,0.0073102307505905,0.0020838056225329,0.0029198271222412,0.0027912824880331,0.0013332481030374,0.0013390904059633,0.0009344397694803,0.0044036321341991,0.0005455134087242,0.000476985995192,0.0004329043731559,0.0035598438698798,0.0033545531332492,0.0003367471217643,0.0037634235341101,0.0010080107022076,0.0133551927283406,0.0013158663641661,0.000448006321676,0.002788737649098,0.0070046707987785,0.9464792013168336
anon_0025,0.0309405940594059,age1,0.6384511590003967,0.0064489729702472,0.0005416761850938,0.0079231336712837,0.0112641928717494,0.0076111368834972,0.0010843833442777,0.0037911424878984,0.00727727310732,0.0011049307649955,0.0518575981259346,0.0078583089634776,0.0026268698275089,0.0003045894845854,0.0019906966481357,0.0024005465675145,0.0012170920381322,0.0036038274411112,0.000683382502757,0.0055336793884634,0.0005149561329744,0.0008592563099227,0.0008833681349642,0.0077245105057954,0.0027550258673727,0.0022108678240329,0.0898466035723686,0.0038341495674103,0.8977042436599731
